longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-120.03,37.73,26,2358,494.0,796,1450,5.5383,367861,NEAR OCEAN
-116.12,33.33,49,2861,437.0,362,895,2.4631,143871,INLAND
-115.69,36.38,2,2264,274.0,4683,135,3.8492,213934,INLAND
-124.23,36.04,25,4051,867.0,970,1138,2.5474,177817,INLAND
-119.19,34.97,3,3453,,1127,243,3.1683,250482,INLAND
-120.13,39.37,8,5179,1184.0,2879,1174,2.4902,151975,NEAR OCEAN
-122.08,37.21,44,7903,1792.0,2431,1185,1.1896,281625,NEAR BAY
-123.1,33.27,33,4836,1110.0,3668,879,2.0066,192577,INLAND
-120.92,34.59,42,4466,817.0,847,226,5.7562,389591,INLAND
-114.87,38.99,52,6752,1103.0,4493,48,6.9143,385454,INLAND
-121.07,33.22,35,939,209.0,322,671,3.8322,294706,INLAND
-119.11,40.59,6,1601,286.0,3060,1065,3.338,210749,INLAND
-117.27,37.2,39,3459,497.0,4865,1134,0.7642,137838,<1H OCEAN
-120.66,37.07,52,7201,1664.0,1823,359,3.2845,236459,INLAND
-114.58,38.13,23,2477,581.0,2597,895,1.0368,82533,<1H OCEAN
-114.68,40.33,25,4104,741.0,3214,803,2.1262,180039,<1H OCEAN
-121.78,35.8,50,4123,535.0,4830,421,3.3132,316417,NEAR OCEAN
-119.33,38.94,43,4414,752.0,4767,666,1.6223,194610,<1H OCEAN
-121.29,37.87,19,3427,769.0,996,336,3.0972,265213,<1H OCEAN
-121.45,35.04,5,3031,719.0,2715,1320,2.0302,208606,<1H OCEAN
-123.93,40.85,51,3958,579.0,556,1500,3.1645,241839,<1H OCEAN
-118.2,40.08,11,2712,349.0,293,1494,9.9438,500001,NEAR OCEAN
-119.27,38.76,12,2351,550.0,555,924,4.9591,284716,INLAND
-123.79,40.58,10,3875,661.0,4567,681,2.1629,216050,NEAR OCEAN
-121.51,40.74,8,2945,560.0,3208,870,8.3756,500001,<1H OCEAN
-115.22,39.23,24,6291,1546.0,3640,1055,4.8689,270986,<1H OCEAN
-121.9,40.45,28,4066,523.0,1922,549,1.6425,221033,<1H OCEAN
-122.85,39.13,41,7869,1607.0,3843,1704,1.5034,184130,INLAND
-119.41,38.96,36,3964,513.0,1242,665,5.0871,326146,INLAND
-114.44,38.38,37,6001,1013.0,4475,1362,2.9478,197898,NEAR OCEAN
-121.88,39.65,21,6018,1351.0,4795,769,1.0199,255651,INLAND
-117.58,34.01,8,2422,427.0,1514,1575,2.6752,208011,INLAND
-116.68,40.87,9,2992,746.0,440,498,1.8668,114637,NEAR OCEAN
-121.92,40.78,47,1897,365.0,4526,241,1.3397,224375,NEAR BAY
-117.02,32.78,15,5740,928.0,3427,1165,2.3093,127577,<1H OCEAN
-120.62,40.35,48,7501,1114.0,4887,1061,2.816,264085,<1H OCEAN
-117.98,33.72,46,3662,606.0,4965,833,7.6327,353595,INLAND
-117.96,35.68,40,4263,718.0,722,506,5.4852,278095,INLAND
-118.94,39.56,18,6055,780.0,2610,903,2.6037,178758,NEAR BAY
-123.4,34.03,42,1724,289.0,1261,489,0.5,141917,INLAND
-115.95,40.27,20,4960,894.0,979,282,1.3902,108185,<1H OCEAN
-121.09,40.41,6,232,49.0,1589,1579,2.5768,223533,NEAR BAY
-122.43,37.32,12,6398,1313.0,962,781,0.7993,170497,NEAR OCEAN
-123.89,32.56,2,4225,896.0,693,1491,2.0525,189449,<1H OCEAN
-118.39,35.23,7,2766,334.0,4572,1010,4.1629,223253,NEAR OCEAN
-117.52,38.36,16,3003,,551,883,3.9966,218803,<1H OCEAN
-124.13,41.82,3,4096,843.0,779,1714,1.4985,205783,<1H OCEAN
-119.18,38.5,45,3909,715.0,1333,265,2.4148,200004,NEAR OCEAN
-122.04,34.97,3,6355,766.0,2168,1359,2.4083,315427,INLAND
-117.85,38.52,27,5847,1313.0,4602,507,6.2138,350488,<1H OCEAN
-122.56,37.63,50,919,202.0,4436,708,3.7836,302207,<1H OCEAN
-117.39,39.91,43,6898,1319.0,3886,1073,1.3767,142403,INLAND
-120.43,33.52,40,6716,863.0,969,245,2.8233,247242,<1H OCEAN
-114.93,39.73,38,4779,1049.0,4100,884,3.1753,226858,INLAND
-122.92,37.64,33,1172,229.0,2389,164,3.5875,275765,INLAND
-120.89,41.65,28,3918,868.0,805,934,1.846,222821,<1H OCEAN
-123.17,35.75,1,7595,1653.0,1919,1182,4.6342,243676,INLAND
-115.05,38.51,8,6966,1563.0,4522,439,1.8988,171082,NEAR OCEAN
-115.53,41.35,37,4602,862.0,557,1475,6.2903,330336,INLAND
-121.72,33.47,32,4752,656.0,1486,1347,3.5657,334245,<1H OCEAN
-117.7,41.4,48,2407,498.0,2625,1299,2.8905,178894,<1H OCEAN
-116.13,39.03,43,4626,928.0,3476,1754,5.5067,269834,INLAND
-118.75,33.14,37,7119,1541.0,608,1609,1.1674,138018,NEAR OCEAN
-119.0,35.36,4,4520,642.0,3152,115,6.1783,310477,<1H OCEAN
-121.88,39.23,30,3230,469.0,4566,585,5.4615,407705,<1H OCEAN
-123.37,33.14,6,7072,1667.0,3672,1428,4.5446,283425,<1H OCEAN
-115.33,38.03,46,3775,821.0,4449,1499,1.6135,126913,INLAND
-115.3,35.79,19,5775,1374.0,4107,407,4.8188,300242,<1H OCEAN
-117.97,38.4,32,3316,724.0,3765,1443,6.4736,346437,NEAR OCEAN
-120.91,32.93,9,3485,688.0,1351,1710,3.2749,268578,<1H OCEAN
-120.81,40.78,12,5378,1102.0,2205,1104,3.5726,291440,INLAND
-117.04,41.75,11,843,198.0,742,271,1.688,122910,INLAND
-115.33,41.7,46,4911,958.0,4400,1347,3.7243,209367,INLAND
-115.43,39.62,16,394,79.0,1528,949,1.3558,161905,<1H OCEAN
-116.5,33.74,1,4196,588.0,306,1616,4.7039,272370,INLAND
-117.88,39.7,45,688,124.0,2480,295,4.0339,266096,<1H OCEAN
-123.46,32.73,21,2404,512.0,491,1173,1.8348,198588,<1H OCEAN
-122.68,32.71,30,2857,443.0,1931,741,5.1708,326032,INLAND
-115.31,35.57,13,5545,811.0,2696,1301,2.713,158764,INLAND
-118.24,37.14,34,6755,1086.0,3870,99,3.1904,226341,<1H OCEAN
-124.21,39.82,4,3476,526.0,4727,86,3.0722,162958,<1H OCEAN
-123.29,38.99,28,1302,192.0,1785,1435,2.7115,221180,NEAR OCEAN
-117.66,36.74,38,5443,953.0,3785,68,1.8257,124287,NEAR OCEAN
-124.25,35.1,31,6814,1621.0,2695,830,3.7209,286909,<1H OCEAN
-122.69,41.97,27,1441,267.0,68,1496,4.9693,362759,INLAND
-118.81,36.55,5,715,103.0,1174,1071,4.6767,321988,INLAND
-117.38,36.79,25,5921,769.0,4035,761,1.2134,120119,INLAND
-117.78,34.05,3,5423,1141.0,2704,854,2.7116,187340,NEAR OCEAN
-122.06,40.05,33,592,100.0,2130,785,1.5438,241832,<1H OCEAN
-117.18,39.09,4,830,188.0,1597,381,3.3587,201822,NEAR OCEAN
-121.93,34.6,25,3916,805.0,911,1351,0.8049,296947,INLAND
-121.05,33.28,20,2047,457.0,204,312,0.8311,178537,INLAND
-116.84,38.96,34,2855,443.0,3544,1639,1.821,114309,INLAND
-117.8,38.72,26,1179,247.0,954,139,6.3826,435242,NEAR BAY
-115.81,35.1,5,4729,729.0,1319,1046,3.1905,192285,<1H OCEAN
-117.72,41.53,35,3602,871.0,454,1233,1.7147,155205,<1H OCEAN
-118.62,33.94,28,7510,1522.0,893,573,4.0239,283509,<1H OCEAN
-123.36,36.61,29,4071,660.0,1832,1799,3.5292,216234,NEAR BAY
-120.62,41.46,9,6883,1067.0,1614,54,6.9382,390424,INLAND
-121.65,36.49,52,477,69.0,1234,872,3.5399,359851,INLAND
-121.86,38.57,38,432,90.0,796,820,2.3346,269891,<1H OCEAN
-114.57,36.28,50,1752,260.0,1775,767,4.8244,304851,NEAR OCEAN
-120.37,35.11,6,5890,1162.0,3238,86,1.2056,137682,NEAR OCEAN
-115.38,41.85,19,5409,835.0,320,209,2.4816,168505,INLAND
-117.99,36.39,44,7859,1619.0,4915,261,1.9953,213286,<1H OCEAN
-116.35,40.99,11,3470,784.0,4006,372,1.4505,140954,<1H OCEAN
-119.27,34.68,2,2609,576.0,221,506,1.8341,152403,INLAND
-118.53,34.52,47,3712,812.0,323,605,2.2902,156115,INLAND
-119.37,32.8,44,225,32.0,2356,484,3.4428,218492,<1H OCEAN
-122.35,38.69,44,7392,971.0,1208,1285,0.5,210857,INLAND
-117.08,36.0,9,5713,1204.0,1756,318,2.7909,213893,<1H OCEAN
-121.49,40.71,21,6850,1150.0,1821,1266,3.3817,257053,NEAR OCEAN
-124.06,37.0,24,7668,1351.0,471,287,5.2312,327038,INLAND
-117.85,41.7,34,7706,955.0,1259,559,1.2662,124100,<1H OCEAN
-122.53,34.26,22,6610,1016.0,4725,716,4.5007,350053,INLAND
-114.9,40.75,3,660,82.0,940,958,1.8073,121739,<1H OCEAN
-114.76,39.88,12,3964,928.0,4867,258,1.4153,154826,<1H OCEAN
-115.15,39.82,28,6799,1031.0,3317,1279,2.0396,150850,NEAR OCEAN
-120.6,40.53,30,3631,698.0,1523,625,2.2969,217063,<1H OCEAN
-124.15,39.73,26,5387,673.0,3293,464,1.3852,126412,<1H OCEAN
-115.02,38.45,48,5302,1095.0,4528,911,6.5715,332485,<1H OCEAN
-120.02,33.75,21,7206,1167.0,2231,1050,2.9688,303656,<1H OCEAN
-114.63,32.81,28,3683,871.0,1499,431,5.4912,359027,<1H OCEAN
-114.66,41.25,26,2194,516.0,3146,651,3.5267,214596,<1H OCEAN
-115.77,38.36,33,690,111.0,3306,117,9.1689,500001,INLAND
-121.36,40.07,21,1272,301.0,3206,613,6.3438,453316,<1H OCEAN
-120.45,37.07,35,6907,1723.0,1640,1595,2.2011,179116,INLAND
-115.79,33.61,52,3373,766.0,4289,1737,1.851,122351,<1H OCEAN
-121.13,33.69,34,415,95.0,4031,338,3.8627,314095,<1H OCEAN
-122.61,39.01,41,7805,1189.0,1485,935,3.712,308009,<1H OCEAN
-118.73,36.59,51,1923,374.0,273,372,2.5083,175942,NEAR OCEAN
-114.94,34.4,47,1792,230.0,269,465,8.0531,442636,INLAND
-117.34,37.17,18,2806,371.0,4324,206,7.2127,347798,NEAR OCEAN
-118.6,33.11,11,358,89.0,1704,168,3.2662,224519,<1H OCEAN
-123.33,38.03,23,6832,1109.0,4578,223,6.6798,367800,NEAR OCEAN
-118.15,35.06,48,4981,1082.0,314,1239,1.9091,120657,<1H OCEAN
-114.4,40.08,22,3513,789.0,1003,1271,3.8639,210114,<1H OCEAN
-122.9,35.45,17,3041,704.0,4574,1217,2.8269,257056,INLAND
-119.12,36.82,5,1976,493.0,3783,1214,2.215,158077,<1H OCEAN
-115.53,32.61,44,2252,340.0,2824,972,1.2598,80228,NEAR BAY
-116.89,33.19,11,7963,997.0,3174,554,4.3605,275089,<1H OCEAN
-117.33,36.23,30,6139,1064.0,529,1654,1.1837,164503,ISLAND
-117.28,37.06,15,6704,917.0,3564,1095,4.7003,296902,INLAND
-120.71,38.2,27,6802,836.0,1403,944,2.812,286096,INLAND
-121.36,35.27,35,2495,416.0,3372,239,11.0029,500001,<1H OCEAN
-116.21,39.1,33,5885,1305.0,3928,770,4.4651,248397,<1H OCEAN
-116.2,40.67,20,1896,367.0,939,891,3.8195,252901,NEAR BAY
-115.63,39.91,16,3193,512.0,3904,1328,3.7833,227852,<1H OCEAN
-115.17,32.88,34,2669,547.0,974,983,0.7979,126925,INLAND
-119.19,37.06,2,2146,,2220,1332,0.5,99115,ISLAND
-119.28,33.5,35,4009,488.0,1952,1304,2.317,160926,<1H OCEAN
-116.32,34.8,40,6358,1394.0,4923,1363,3.4496,258889,INLAND
-117.8,41.87,28,2983,599.0,2445,1773,5.9188,344726,INLAND
-117.28,33.85,47,3844,842.0,78,862,2.0423,138221,<1H OCEAN
-116.34,37.24,39,5441,680.0,84,169,15.0,500001,<1H OCEAN
-115.4,38.37,6,6620,1514.0,3639,821,1.6251,112768,INLAND
-120.92,39.17,9,5877,1178.0,2720,575,2.4677,193109,<1H OCEAN
-120.54,37.82,20,2700,521.0,3415,1046,2.9505,219422,INLAND
-123.36,32.59,1,7757,1560.0,638,1583,2.9345,246802,<1H OCEAN
-118.52,35.6,8,7661,1780.0,3268,86,1.2824,133111,NEAR BAY
-123.94,37.42,23,3845,754.0,3188,141,3.9427,255295,<1H OCEAN
-119.64,33.33,3,2845,556.0,953,34,3.2902,277567,INLAND
-118.87,35.83,4,6789,1689.0,4136,1463,4.3082,209869,INLAND
-121.43,32.82,25,6553,1431.0,2219,1467,0.5193,168093,<1H OCEAN
-118.39,33.25,47,7957,1412.0,389,1235,3.3794,220328,<1H OCEAN
-123.99,36.27,38,7057,1495.0,4320,1066,0.5,83561,NEAR OCEAN
-123.93,33.76,15,2549,434.0,1764,1392,2.6102,219587,NEAR OCEAN
-116.07,37.89,21,2132,319.0,4742,1312,3.8463,228136,<1H OCEAN
-120.7,39.05,35,3494,690.0,4596,119,4.8591,361289,<1H OCEAN
-123.03,40.11,46,1957,470.0,606,645,2.3574,246016,<1H OCEAN
-119.08,34.4,52,6346,1528.0,3137,920,1.9655,223896,<1H OCEAN
-116.6,34.09,14,5285,869.0,3316,727,1.0164,94675,INLAND
-122.14,33.49,36,5837,1100.0,3617,1303,0.5049,236196,NEAR OCEAN
-118.07,38.55,12,1316,194.0,2106,1308,3.1147,175611,<1H OCEAN
-123.45,39.21,17,2767,690.0,3949,1641,0.5,120405,ISLAND
-123.78,32.8,39,3699,915.0,1066,927,3.0565,217541,<1H OCEAN
-118.99,41.39,9,692,141.0,2112,1000,1.2076,149821,INLAND
-118.89,32.99,35,3506,787.0,888,1161,0.5,116344,INLAND
-117.93,37.64,13,819,174.0,1687,697,1.7012,119121,INLAND
-117.04,39.24,15,3432,676.0,4371,623,1.6801,160518,INLAND
-114.54,40.77,18,4023,510.0,3546,618,0.9904,90883,<1H OCEAN
-119.14,39.28,51,6674,1195.0,1863,514,2.342,159746,INLAND
-121.07,40.12,33,2580,535.0,3529,1011,3.2897,265403,INLAND
-116.35,35.72,6,6393,1330.0,1501,1001,1.4001,81255,<1H OCEAN
-121.59,40.24,27,1746,294.0,2363,1311,1.5643,244715,NEAR OCEAN
-119.91,33.26,23,5158,1250.0,1564,668,2.2799,189470,<1H OCEAN
-123.52,41.0,27,5987,848.0,1281,1026,3.6012,260565,INLAND
-124.05,37.7,34,3763,696.0,1695,311,4.5799,292660,<1H OCEAN
-114.67,40.26,46,1805,378.0,3049,1015,10.1306,500001,<1H OCEAN
-115.94,36.8,38,3952,832.0,3490,1141,0.5,129312,<1H OCEAN
-117.34,38.61,14,6615,1351.0,4106,1257,2.1906,205601,INLAND
-120.21,37.5,36,4875,759.0,355,45,5.5478,340863,INLAND
-122.57,39.45,8,2090,293.0,3586,1204,6.733,405057,<1H OCEAN
-122.74,33.28,35,1475,298.0,1773,965,6.9216,437199,<1H OCEAN
-121.8,33.07,19,6903,1366.0,1739,283,7.5647,500001,<1H OCEAN
-118.81,34.85,30,2943,421.0,1567,1241,8.451,480472,INLAND
-117.15,34.02,14,6151,1301.0,3967,358,3.0969,214337,INLAND
-117.7,40.78,20,7457,1336.0,469,573,7.6152,380191,<1H OCEAN
-121.5,34.58,49,2693,556.0,2986,812,1.0775,172425,<1H OCEAN
-114.75,41.77,25,7360,1684.0,3912,1026,2.6143,157041,INLAND
-116.92,35.7,40,5651,802.0,4279,1450,2.4555,191340,<1H OCEAN
-118.76,34.23,24,5458,668.0,1500,1570,1.9352,179369,<1H OCEAN
-118.18,40.0,14,556,123.0,3146,1512,1.1288,142755,<1H OCEAN
-120.1,38.76,26,5920,1179.0,3311,1383,6.1084,375633,<1H OCEAN
-121.82,37.23,38,6617,1395.0,1214,874,2.8087,231734,INLAND
-120.74,37.78,23,7386,1691.0,1919,1222,2.9483,187269,INLAND
-116.72,39.33,22,6302,1413.0,1869,1746,1.1456,111231,<1H OCEAN
-124.16,34.67,48,6654,1629.0,2755,395,4.0704,273578,INLAND
-123.14,41.97,19,1069,202.0,3565,1231,6.3016,431275,<1H OCEAN
-123.84,41.76,46,1085,199.0,1392,684,3.7938,265871,NEAR OCEAN
-123.89,38.68,51,2201,379.0,2276,1415,1.3355,122722,INLAND
-115.75,34.4,3,6497,909.0,1129,789,6.504,373234,INLAND
-117.26,38.96,42,5709,1110.0,4256,668,0.5,88114,<1H OCEAN
-119.56,33.19,19,1483,231.0,4613,1093,4.6652,281477,<1H OCEAN
-123.32,32.79,9,819,196.0,2829,953,1.3174,115500,INLAND
-119.38,34.95,28,1082,211.0,2578,445,7.4797,420578,INLAND
-119.57,36.89,20,996,196.0,863,1408,10.0491,500001,<1H OCEAN
-122.57,40.75,45,3842,638.0,2081,284,1.7175,182944,NEAR BAY
-119.96,39.41,7,6468,819.0,372,1196,2.2485,212855,NEAR BAY
-120.31,39.56,14,3625,449.0,3019,1793,4.3251,310035,INLAND
-118.14,36.54,9,1496,261.0,953,739,1.914,158461,NEAR BAY
-117.95,35.79,19,4914,643.0,1591,606,0.6082,97423,<1H OCEAN
-123.85,36.02,47,6130,1219.0,3553,929,7.857,474577,<1H OCEAN
-120.55,41.88,52,444,104.0,2703,40,2.021,203195,<1H OCEAN
-118.04,32.88,14,3095,726.0,2526,1673,3.7762,219103,INLAND
-119.27,40.74,38,6793,1397.0,3390,55,1.6363,147918,<1H OCEAN
-115.74,38.0,36,1129,166.0,4293,986,3.486,234236,NEAR BAY
-117.71,36.67,40,5566,,1191,450,3.4268,161591,<1H OCEAN
-122.67,39.39,17,719,169.0,899,1716,4.0721,285119,<1H OCEAN
-123.59,37.12,30,3412,496.0,416,1274,1.9316,205301,NEAR OCEAN
-117.88,40.8,9,2609,563.0,2947,525,1.2059,159828,<1H OCEAN
-124.03,41.06,33,207,32.0,1139,1290,1.7153,197324,<1H OCEAN
